Feature,SHAP Importance,Permutation Importance
att2,0.01765816470426562,0.0011834319526626946
totdist,0.01654382445268248,0.003550295857988106
cmp2,0.012834579695318378,0.007100591715976279
90s_passing,0.0,-0.0035502958579881837
sh_shooting,0.0,0.0017751479289940474
gls_shooting,0.0,0.00414201183431947
gls,0.0,0.0
npxgplusxag,0.0,0.004142011834319492
npxg,0.0,0.0029585798816567643
npxg_shooting,0.0,0.0023668639053254005
xg,0.0,0.0035502958579881174
xg_shooting,0.0,0.0035502958579881174
sot,0.0,0.009467455621301713
90s,0.0,0.0
90s_possession,0.0,-0.0035502958579881837
90s_misc,0.0,-0.002366863905325467
90s_defense,0.0,0.0
90s_shooting,0.0,-0.0011834319526627612
90s_playtime,0.0,0.0
90s_pass_types,0.0,0.0023668639053254113
minpct,0.0,-0.0035502958579881837
minutes_playtime,0.0,0.0
touches,0.0,-0.005325443786982287
live_possession,0.0,-0.001183431952662739
live,0.0,0.0017751479289940364
att_pass_types,0.0,-0.000591715976331375
att,0.0,0.0
cmp,0.0,-0.005917159763313651
cmp_pass_types,0.0,-0.005325443786982287
att_pen,0.0,0.0005917159763313528
