Feature,Importance,Std
sot,0.009467455621301713,0.00289880442932922
cmp2,0.007100591715976279,0.006372976103117754
npxgplusxag,0.004142011834319492,0.004621449512370775
gls_shooting,0.00414201183431947,0.0027115832514531227
xg,0.0035502958579881174,0.002898804429329165
xg_shooting,0.0035502958579881174,0.002898804429329165
totdist,0.003550295857988106,0.005423166502906301
npxg,0.0029585798816567643,0.0029585798816567643
90s_pass_types,0.0023668639053254113,0.002898804429329165
npxg_shooting,0.0023668639053254005,0.003924999751899852
sh_shooting,0.0017751479289940474,0.00378883090972355
live,0.0017751479289940364,0.004621449512370775
att2,0.0011834319526626946,0.003550295857988139
att_pen,0.0005917159763313528,0.0017751479289940585
90s_playtime,0.0,0.0
90s,0.0,0.0
minutes_playtime,0.0,0.0
att,0.0,0.0
gls,0.0,0.0
90s_defense,0.0,0.0
att_pass_types,-0.000591715976331375,0.0031864880515588717
live_possession,-0.001183431952662739,0.0035502958579881616
90s_shooting,-0.0011834319526627612,0.005158460288213795
90s_misc,-0.002366863905325467,0.003924999751899878
90s_passing,-0.0035502958579881837,0.00289880442932922
90s_possession,-0.0035502958579881837,0.00289880442932922
minpct,-0.0035502958579881837,0.00289880442932922
touches,-0.005325443786982287,0.005582237356246517
cmp_pass_types,-0.005325443786982287,0.005582237356246517
cmp,-0.005917159763313651,0.008776566256917936
